rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Un-dismissable consent popup,URGENT,HOMEPAGE | POPUP/MODAL,Medium,2-5 days,5,10,no,trust,"The homepage displays a consent popup that appears un-dismissable, potentially trapping users and increasing bounce rate.","The homepage displays a consent popup that appears un-dismissable, potentially trapping users and violating user autonomy, which can increase bounce rate and erode trust.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Ensure popup is dismissible with a clear close button, and avoid blocking content; use non-intrusive consent banners.","body_sample includes 'www.allbirds.com is blocked' repeated 5 times in h1s, suggesting a blocking overlay or popup; no close button or dismiss option is visible in the extracted content.",Nav & Distraction,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_un_dismissable_consent_popup.html
2,Multiple competing CTAs,HIGH,HOMEPAGE HERO,Medium,2-5 days,5,10,no,conversion,"The homepage hero presents multiple competing CTAs without a single clear primary action, diluting user focus.","The homepage hero presents multiple competing CTAs (Shop All, Shop Womens, Shop Mens, etc.) without a single clear primary action, diluting user focus and reducing conversion likelihood.","h1: Wildly Comfortable. Super Natural.; cta: Single primary CTA: 'Shop Best Sellers' or 'Shop Women's'; notes: Reduce to one primary CTA in hero, with secondary CTAs de-emphasized or moved below the fold.","CTAs on homepage: 'Shop All', 'Shop Womens', 'Shop Mens', 'Shop Socks', 'Shop Women's Sale', 'Shop Men's Sale', 'SHOP MEN', 'SHOP WOMEN', 'Sign Up', 'Shop + -'",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_2_multiple_competing_ctas.html
3,Spec-forward hero copy,HIGH,HOMEPAGE HERO,Low,0.5-2 days,5,10,no,conversion,"The hero headline is abstract and doesn't mention shoes, comfort, or sustainability benefits, failing to address visitor intent.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and feature-led, failing to directly address the visitor's intent to find comfortable, sustainable shoes, and the multiple 'blocked' H1s indicate a rendering issue that undermines clarity.","h1: Shoes That Feel Like Nothing. Made from Nature.; cta: Shop Best Sellers; notes: Rewrite to directly address visitor intent: comfortable, sustainable shoes. Use a clear CTA that guides to popular products.","H1s include 'Wildly Comfortable. Super Natural.' and multiple 'www.allbirds.com is blocked' entries; CTAs are generic 'Shop All', 'Shop Womens', 'Shop Mens'.",Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_3_spec_forward_hero_copy.html
4,Shipping delay warning,HIGH,HOMEPAGE HERO,Medium,2-5 days,5,10,no,conversion,The prominent 'orders may take up to 30 days to ship' warning creates immediate purchase anxiety and undermines trust.,The prominent 'orders may take up to 30 days to ship' warning creates immediate purchase anxiety and undermines trust in delivery promises.,h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Replace with a positive shipping message: 'Free shipping on orders over $100' and move any delay notice to a less prominent location or remove it if no longer accurate.,"Body sample: 'Due to increased demand, orders may take up to 30 days to ship.'",Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_shipping_delay_warning.html
5,Free shipping threshold hidden,HIGH,HOMEPAGE HERO | PRICING PAGE,Medium,2-5 days,5,10,no,conversion,"The free shipping threshold is only mentioned in the body text, not prominently displayed near prices, causing potential surprise at checkout.","The free shipping threshold is only mentioned in the body text, not prominently displayed near prices, causing potential surprise at checkout.",h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Add a line near prices or in the hero: 'Free shipping on orders over $100' to set expectations early.,Body sample shows 'Free ground shipping on orders over $100' but the hero section and product cards display prices without any shipping threshold context.,Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_free_shipping_threshold_hidden.html
6,Mega-menu choice overload,HIGH,NAV | MEGA-MENU,Medium,2-5 days,5,10,no,conversion,"The mega-menu presents 20+ nav items across multiple columns and categories, overwhelming users and increasing cognitive load.","The mega-menu presents 20+ nav items across multiple columns and categories, overwhelming users and increasing cognitive load, which can lead to choice paralysis and reduced navigation efficiency.","h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Simplify mega-menu to top 5-7 key categories, use clear hierarchy, and consider progressive disclosure to reduce cognitive load.","nav_items list includes 20 items: 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_mega_menu_choice_overload.html
7,Missing add-to-cart CTA,URGENT,PRODUCT PAGE (ANYTIME ANKLE SOCK),Medium,2-5 days,4,10,no,conversion,"The product page for Anytime Ankle Sock lacks a visible 'Add to Cart' button, preventing users from completing a purchase.","The product page for Anytime Ankle Sock lacks a visible 'Add to Cart' button, preventing users from completing a purchase and causing path bypass.","h1: Anytime Ankle Sock; cta: Add prominent 'Add to Cart' button with size selection; notes: Ensure a clear, visible add-to-cart button is present on all product pages to facilitate purchase.","CTAs on product page: 'Shop All', 'Shop Womens', 'Shop Mens', 'Shop Socks', 'Shop Women's Sale', 'Shop Men's Sale', 'Learn More', 'Sign Up', 'Shop + -' - no 'Add to Cart' or 'Buy Now' CTA found.",Funnel-Path & Commerce Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_7_missing_add_to_cart_cta.html
8,Missing review count,HIGH,PRODUCT PAGE (ANYTIME ANKLE SOCK),Medium,2-5 days,4,10,no,conversion,"The product page shows a reviews section but lacks a visible review count or rating summary, reducing social proof.","The product page shows a reviews section but lacks a visible review count or rating summary, reducing social proof and increasing purchase hesitation.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a star rating and review count (e.g., '4.8 ★ (2,345 reviews)') directly under the product title or price to provide immediate social proof.",H2: 'Reviews for Anytime Ankle Sock' but no review count or star rating visible in the provided body sample.,Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_missing_review_count.html
9,Controls without accessible names,HIGH,SITE-WIDE ACCESSIBILITY,Low,0.5-2 days,3,10,yes,trust,"21 of 69 buttons expose no text label, so screen readers and voice control cannot address them.","21 of 69 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 21 of 69 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_controls_without_accessible_names.html
10,Images missing alternative text,MEDIUM,SITE-WIDE ACCESSIBILITY,Low,0.5-2 days,3,10,yes,traffic,"12 of 55 images carry no alt attribute, losing both assistive technology support and image-search traffic.","12 of 55 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","notes: Add descriptive alt text; use alt="""" only for decorative images.",Measured on the live homepage: 12 of 55 <img> elements have no alt attribute.,Technical & Accessibility,17690,70762,"2,160,000 annual visits x 2.10% conversion x 0.5-2.0% relative lift x $78 order value",1847435,616,finding_10_images_missing_alternative_text.html
